track_number,explicit,artist_popularity,album_total_tracks,track_duration_min,artist_followers_log,is_album,is_compilation,is_single,track_artist_ratio,dur_Short,dur_Medium,dur_Long,is_collaboration,release_month,Is_Top_50
4,1,0.370071001,0.044444444,0.28962818,0.023558218,1,0,0,-5.940692596,1,0,0,1,10,
1,1,-0.291680555,0,0.587084149,-0.029937445,0,0,1,7.537326366,0,1,0,0,10,
1,1,-1.106144008,0,0.485322896,-0.799352744,0,0,1,1.835676232,0,1,0,0,10,
8,1,0.370071001,0.044444444,0.31702544,0.023655332,1,0,0,-2.536688074,1,0,0,1,10,
2,1,-1.106144008,0.005555556,0.454011742,-1.752939162,0,0,1,1.987522393,0,1,0,0,10,
1,0,-1.20795194,0.011111111,0.526418787,-1.80968634,0,0,1,1.750486832,0,1,0,0,10,
1,0,-2.022415393,0,0.792563601,-2.261788843,0,0,1,0.671804037,0,0,1,0,10,
1,0,-1.055240042,0.005555556,0.481409002,-1.748721022,0,0,1,1.008994044,0,1,0,0,10,
1,0,-3.244110573,0.005555556,0.557729941,-2.645310972,0,0,1,0.470585129,0,1,0,0,10,
1,1,-1.106144008,0,0.455968689,-0.867610635,0,0,1,0.734791568,0,1,0,0,10,
1,0,-2.276935222,0.016666667,0.473581213,-2.480042428,0,0,1,0.41229001,0,1,0,0,10,
1,0,-1.20795194,0.072222222,0.5518591,-1.609955798,1,0,0,0.151430962,0,1,0,0,10,
5,0,0.777302728,0.061111111,0.849315068,0.446478812,1,0,0,0.683032868,0,0,1,0,10,
2,1,-2.684166949,0.027777778,0.387475538,-2.026259489,0,0,1,0.81905666,0,1,0,0,10,
11,0,-1.20795194,0.072222222,0.818003914,-1.615246464,1,0,0,0.881434729,0,0,1,0,10,
2,1,0.217359104,0.033333333,0.52446184,-0.38854788,0,0,1,2.828972605,0,1,0,0,10,
1,0,-2.378743154,0,0.520547945,-2.288697892,0,0,1,0.376991823,0,1,0,0,10,
3,0,-1.20795194,0.072222222,0.557729941,-1.609955798,1,0,0,0.672862224,0,1,0,0,10,
1,0,-3.39682247,0,0.555772994,-2.726911221,0,0,1,0.511237991,0,1,0,0,10,
1,0,-2.378743154,0,0.46183953,-1.611202993,0,0,1,0.394644384,0,1,0,0,10,
1,0,-1.767895564,0,0.555772994,-2.513891955,0,0,1,0.412243346,0,1,0,0,10,
1,0,-0.138968657,0.016666667,0.726027397,0.056804774,0,0,1,0.107633706,0,0,1,0,10,
1,0,-2.684166949,0.011111111,0.819960861,-2.604273859,0,0,1,0.474890299,0,0,1,0,10,
2,1,0.217359104,0.072222222,0.53816047,-0.195524165,1,0,0,1.28348596,0,1,0,0,10,
1,1,-2.327839188,0,0.499021526,-2.967207255,0,0,1,0.926393044,0,1,0,0,10,
14,0,-1.20795194,0.072222222,0.624266145,-1.609955798,1,0,0,0.707624308,0,1,0,0,10,
1,1,-2.378743154,0,0.5518591,-2.206778605,0,0,1,0.359339261,0,1,0,0,10,
1,0,-2.276935222,0.005555556,0.455968689,-2.516853097,0,0,1,0.320080731,0,1,0,0,10,
1,0,-1.920607461,0,0.686888454,-2.293181447,0,0,1,0.401328267,0,0,1,0,10,
1,0,-3.244110573,0,0.739726027,-3.174754771,0,0,1,0.651797409,0,0,1,0,10,
1,0,-1.818799529,0,0.450097847,-2.255187404,0,0,1,0.493054247,0,1,0,0,10,
1,0,-1.258855905,0,0.622309198,-1.397860307,0,0,1,0.345446107,0,1,0,0,10,
1,0,-2.531455051,0,0.587084149,-2.395234765,0,0,1,0.453775447,0,1,0,0,10,
1,0,-2.022415393,0.022222222,0.457925636,-2.090814565,0,0,1,0.567990268,0,1,0,0,10,
2,0,-2.022415393,0.022222222,0.27592955,-2.090283692,0,0,1,0.817143314,1,0,0,0,10,
1,0,-2.633262983,0,0.624266145,-2.910257108,0,0,1,0.340553407,0,1,0,0,10,
5,0,-2.887782812,0.044444444,0.757338552,-3.068777759,1,0,0,0.674060151,0,0,1,0,10,
2,0,-2.17512729,0.011111111,0.563600783,-1.187668515,0,0,1,0.450892497,0,1,0,0,10,
1,0,-0.59710435,0,0.450097847,-0.883620558,0,0,1,0.025050276,0,1,0,0,10,
3,1,0.726398762,0.061111111,0.655577299,0.397915384,1,0,0,1.598000767,0,1,0,0,10,
1,1,0.370071001,0.016666667,0.549902153,0.023505332,0,0,1,-0.153884909,0,1,0,1,10,
1,0,-1.004336076,0,0.39334638,-1.809643771,0,0,1,0.60022806,0,1,0,0,10,
1,0,-3.498630402,0,0.418786693,-2.947603275,0,0,1,0.592378067,0,1,0,0,10,
1,0,-1.055240042,0,0.504892368,-1.507358086,0,0,1,0.093760167,0,1,0,1,10,
1,1,0.166455138,0,1,-0.236966784,0,0,1,4.955420991,0,0,1,1,10,
